features,label
"[-68.878624 -65.67404  -64.631744 -64.32828  -64.945274 -65.53978
 -65.39439  -65.66341  -65.68599  -66.062775 -65.63172  -65.36138
 -65.22134  -65.152336 -65.56076  -63.541782 -63.25782  -63.852497
 -64.24032  -64.144356 -64.13258  -63.080246 -60.41776  -59.1518
 -59.980766 -64.497215 -66.43944  -67.79061  -67.32535  -67.14183
 -67.19586  -66.77345  -67.34373  -66.40033  -66.05069  -65.96655
 -65.81818  -65.74108  -65.281136 -64.59063  -63.991    -63.210667
 -60.884495 -57.52331  -56.99462  -58.940342 -61.103355 -64.64331
 -66.80801  -67.014946 -66.94867  -66.675476 -65.98967  -65.85494
 -66.31889  -66.49241  -65.2784   -65.53456  -67.03102  -68.17992
 -68.58924  -68.84846  -68.39516  -67.71724  -66.64656  -65.567566
 -66.31518  -67.387665 -67.889145 -68.835655 -69.27205  -69.74562
 -70.08186  -70.25003  -70.14018  -70.157104 -70.12584  -70.44134
 -70.76064  -70.630264 -70.82483  -70.97904  -71.402794 -71.358826
 -71.79737  -71.900986 -72.58238  -72.9315   -72.999855 -73.35206
 -73.47705  -73.56003  -73.633446 -73.9965   -73.99183  -74.141136
 -74.1293   -74.19422  -74.30732  -74.37216  -74.3177   -74.4483
 -74.3622   -74.40974  -74.426865 -74.298386 -74.26269  -74.1997
 -74.05668  -74.02839  -73.89766  -73.894325 -73.828575 -73.6683
 -73.530624 -73.3683   -73.31507  -73.0553   -73.876144 -76.4622
 -75.653755 -75.50616  -75.54676  -75.79295  -77.23181  -78.95541
 -79.87404  -80.      ]",102 - Rooster
"[-42.23278  -36.130547 -37.554012 -42.27614  -45.235523 -48.03105
 -50.01565  -53.22066  -52.27478  -53.104362 -52.982227 -53.835266
 -54.551342 -54.74633  -55.75511  -55.708954 -58.01016  -57.721615
 -58.66118  -57.61198  -57.22744  -57.91225  -58.265182 -59.182877
 -58.10894  -59.891636 -59.63038  -59.97206  -59.346596 -59.270477
 -59.7811   -59.1401   -60.145473 -60.233837 -60.921593 -61.033875
 -60.36191  -60.485043 -60.917255 -61.30495  -61.078865 -59.312904
 -56.24656  -52.374294 -51.845284 -53.04335  -53.504925 -53.54875
 -55.624355 -57.86834  -60.163727 -61.706154 -64.175095 -66.59867
 -68.35207  -69.21598  -69.77435  -69.74506  -70.34746  -70.64818
 -71.38249  -71.69392  -72.09908  -72.43131  -72.63349  -73.163124
 -73.14068  -73.37671  -73.56235  -73.93392  -74.4084   -74.99914
 -75.39072  -75.19036  -75.41831  -76.4783   -77.00136  -77.351654
 -77.71275  -77.92323  -78.46596  -79.066315 -79.17896  -79.14988
 -79.46215  -79.70914  -79.89729  -79.95375  -79.93713  -79.94515
 -79.96837  -79.986046 -79.99464  -79.99628  -79.98815  -79.92463
 -79.7573   -79.67813  -79.78801  -79.796425 -79.76152  -79.78311
 -79.84886  -79.96941  -79.99635  -79.999    -80.       -80.
 -80.       -80.       -80.       -80.       -80.       -80.
 -79.977036 -79.99275  -80.       -79.74353  -80.       -79.99461
 -79.990845 -79.98709  -79.97861  -79.99889  -80.       -80.
 -80.       -80.      ]",105 - Frog
"[-37.07259  -30.871428 -32.551163 -37.391342 -41.531418 -45.189785
 -47.07194  -48.42836  -47.527092 -48.315487 -48.302174 -48.616215
 -48.440765 -48.611923 -49.737698 -49.90358  -51.6146   -51.125652
 -52.49905  -52.340996 -52.541214 -52.63293  -52.491646 -53.99266
 -52.916653 -54.012524 -52.529404 -53.00723  -53.13177  -53.036865
 -53.556202 -53.022858 -53.772957 -52.70693  -52.812138 -52.964798
 -52.96831  -53.760845 -54.156986 -55.379925 -55.237602 -54.059563
 -51.63068  -47.979645 -46.715214 -48.661514 -51.712925 -53.71536
 -55.04977  -56.601055 -59.275826 -61.452927 -62.3057   -63.907837
 -64.67884  -65.50459  -66.38481  -66.66421  -67.14205  -67.811226
 -68.013535 -68.19154  -68.47892  -68.88983  -69.526665 -69.743324
 -70.13217  -70.15205  -69.9997   -70.2193   -70.41603  -71.35404
 -71.65954  -71.72349  -71.55486  -72.31628  -73.43368  -73.836044
 -74.21843  -74.61068  -75.146255 -76.053505 -76.355606 -76.83187
 -77.45508  -77.7538   -78.343735 -78.725784 -79.17931  -79.28968
 -79.427284 -79.5621   -79.747086 -79.812126 -79.876015 -79.91497
 -79.82851  -79.70291  -79.790474 -79.87587  -79.84242  -79.799904
 -79.76258  -79.900505 -79.97197  -79.95905  -79.96966  -79.96207
 -79.80069  -79.89147  -79.84698  -79.73956  -79.62495  -79.44287
 -79.045395 -79.106926 -79.081474 -76.035164 -79.10469  -78.76813
 -78.3059   -78.05293  -77.73376  -79.885315 -80.       -80.
 -80.       -80.      ]",105 - Frog
"[-72.09333  -68.41787  -65.36553  -63.942783 -63.762886 -62.659332
 -62.047283 -62.419785 -62.60051  -63.826973 -63.750546 -64.14427
 -64.00828  -63.409245 -63.075886 -60.634735 -58.467102 -55.174187
 -54.19686  -53.811348 -55.95382  -60.448765 -63.125443 -64.31103
 -63.66546  -64.639366 -63.670544 -62.35467  -60.882042 -60.52556
 -61.470085 -62.69042  -63.542587 -62.51363  -61.84138  -60.493664
 -59.160175 -58.435925 -57.556168 -57.73329  -60.84589  -63.09715
 -64.70901  -65.53793  -64.77811  -63.425476 -64.79382  -66.6249
 -66.20431  -65.797585 -66.38108  -67.6559   -68.03371  -68.80548
 -70.04586  -69.389435 -69.454636 -70.189026 -69.99208  -69.64966
 -68.57238  -67.18913  -68.20134  -70.51074  -71.1927   -71.72424
 -71.45909  -71.324265 -70.546074 -68.2914   -67.59686  -68.90351
 -69.28943  -69.67878  -69.80996  -69.601616 -69.88902  -69.32605
 -69.39851  -70.66941  -70.95681  -70.641335 -69.90804  -68.30132
 -68.45858  -70.47368  -70.59806  -70.63594  -71.06202  -71.806564
 -72.30474  -72.15561  -71.946236 -71.513756 -71.30387  -71.89332
 -71.59706  -71.684715 -72.7979   -73.14796  -73.02858  -72.89513
 -73.4983   -73.48708  -73.73674  -74.14824  -74.06436  -74.01703
 -74.438614 -74.406364 -74.60133  -74.87644  -75.121735 -75.492035
 -75.90298  -75.896805 -75.928444 -75.974556 -77.399925 -79.948875
 -79.97942  -79.934204 -79.96157  -79.97716  -80.       -79.9814
 -79.98851  -80.      ]",102 - Rooster
"[-35.519264 -31.615969 -35.367073 -40.127144 -40.720093 -39.59546
 -39.413185 -45.255543 -44.79096  -46.253048 -44.671295 -43.299877
 -40.44224  -37.85255  -36.198284 -33.297607 -34.188774 -33.634415
 -34.935616 -35.592434 -36.861996 -37.282574 -36.274784 -37.048862
 -36.22388  -36.80969  -35.21983  -34.97895  -34.55171  -34.66789
 -35.310677 -34.24684  -34.725834 -34.500607 -34.28405  -33.905598
 -33.217323 -33.9174   -34.033253 -33.879387 -34.25302  -34.550915
 -35.00242  -35.838493 -35.941704 -36.10278  -37.112923 -36.768375
 -37.295963 -37.160595 -38.23782  -38.370502 -37.934444 -38.210598
 -37.236027 -36.99056  -38.990696 -39.73305  -40.536385 -42.4907
 -43.69929  -45.43373  -47.082413 -48.357204 -48.89118  -49.775265
 -50.142788 -50.672825 -51.54761  -52.67771  -53.43128  -54.715748
 -56.16834  -56.767532 -57.046944 -58.69759  -60.03152  -60.158005
 -59.556026 -61.19173  -62.8008   -65.11409  -67.64159  -69.13211
 -71.20692  -72.4173   -72.81242  -72.85057  -72.60007  -73.34773
 -73.69717  -74.082085 -74.46844  -74.50721  -74.44619  -74.64644
 -74.85724  -75.056206 -74.99229  -75.49029  -75.53414  -75.64285
 -76.0017   -76.04204  -76.15014  -76.31563  -76.60944  -76.85208
 -76.91005  -77.202484 -77.28323  -77.537636 -77.923386 -78.02443
 -78.351166 -78.54919  -78.877945 -79.06268  -79.29847  -79.64189
 -79.76406  -79.78491  -79.803696 -79.692345 -79.72334  -79.92919
 -79.93526  -79.935455]",105 - Frog
"[-66.92841  -70.7343   -71.25164  -71.55532  -71.74227  -71.56617
 -71.32736  -71.879524 -70.93925  -70.66382  -70.05514  -69.517555
 -68.96149  -68.86924  -68.74101  -68.540054 -69.25033  -69.339294
 -69.5837   -69.44317  -69.47214  -69.27775  -68.90563  -68.772484
 -68.1604   -67.96703  -67.85022  -68.451    -68.52788  -68.434685
 -68.4059   -68.690765 -69.95054  -70.23705  -70.52506  -70.389824
 -70.33097  -69.954735 -70.00667  -69.721725 -69.239204 -69.14533
 -69.17556  -69.72126  -70.61621  -70.938354 -71.37029  -71.58788
 -71.97198  -72.046814 -72.2514   -72.35054  -72.26286  -72.002075
 -71.59818  -71.81409  -71.95571  -72.21175  -72.17341  -72.27132
 -72.4459   -72.90307  -72.808655 -72.97207  -73.18592  -73.3936
 -73.22086  -73.00585  -73.37339  -73.682014 -73.84701  -73.853195
 -74.11825  -74.083626 -73.97448  -73.96112  -73.96254  -74.316605
 -74.54515  -74.502846 -74.442505 -74.207405 -74.283356 -74.23762
 -74.21478  -74.61266  -74.61706  -74.947556 -74.99176  -75.15158
 -75.04621  -75.36563  -75.55426  -75.676384 -75.80955  -75.80056
 -75.81268  -75.96923  -76.14059  -76.372475 -76.50977  -76.53909
 -76.61944  -76.799866 -77.024506 -77.020645 -77.11657  -77.08729
 -77.137024 -77.18751  -77.29535  -77.38741  -77.377594 -77.50024
 -77.55629  -77.638054 -77.74573  -77.798706 -77.839836 -77.89545
 -77.97997  -78.17483  -78.32137  -78.64163  -78.75747  -78.96079
 -79.40442  -79.97209 ]",101 - Dog
"[-21.685694 -26.29508  -22.524775 -21.086948 -19.721056 -19.209066
 -17.523394 -21.672132 -23.235254 -26.81437  -30.221134 -35.06923
 -36.838017 -36.86646  -35.920124 -33.57767  -34.854446 -31.124638
 -29.208385 -27.369467 -29.275784 -32.4371   -34.307438 -34.028458
 -29.675745 -29.967709 -28.770552 -28.667038 -29.874538 -30.091557
 -28.280987 -25.92704  -29.425106 -31.60975  -30.864809 -29.326777
 -27.779524 -31.409883 -35.513306 -36.742096 -38.107815 -39.589867
 -38.429398 -34.708397 -33.592705 -34.810646 -37.10263  -37.86979
 -39.770382 -38.578007 -37.53533  -37.47756  -36.55553  -37.971188
 -40.80823  -42.320698 -43.52883  -43.850292 -44.23008  -44.30844
 -44.13255  -45.637062 -47.686413 -47.06261  -47.8894   -49.186005
 -50.63305  -51.418526 -52.788116 -53.578175 -53.716286 -53.890823
 -55.7009   -57.50591  -57.222847 -56.443882 -56.35974  -57.426834
 -59.499393 -59.039505 -59.687637 -62.546413 -64.25956  -64.689735
 -65.93614  -67.780174 -69.12066  -68.59865  -68.27281  -69.16817
 -68.85299  -69.388016 -69.56811  -70.92961  -73.43188  -74.50501
 -75.0387   -75.211975 -75.85735  -76.19531  -77.09838  -77.039734
 -77.15123  -77.629425 -77.98728  -78.09756  -78.816055 -79.36212
 -79.370575 -79.466064 -79.70303  -79.822205 -79.89951  -79.83545
 -79.80559  -79.75078  -79.64204  -79.44451  -79.98577  -80.
 -80.       -79.98022  -79.984955 -79.99962  -80.       -80.
 -80.       -80.      ]",104 - Cow
"[-62.161568 -62.578632 -64.248405 -60.95159  -58.154804 -58.866158
 -60.839695 -61.247528 -61.025322 -58.20723  -57.94737  -60.36436
 -62.921684 -63.288235 -61.043156 -58.75759  -60.325912 -60.00755
 -58.780567 -57.824444 -56.024284 -56.773003 -59.23869  -58.774307
 -58.020626 -56.58882  -56.126953 -58.901024 -61.703564 -61.369938
 -60.781746 -58.370296 -59.377907 -61.672733 -62.339893 -59.190014
 -56.71412  -58.364223 -61.06318  -61.40419  -60.04052  -61.24119
 -62.652924 -60.27602  -58.767864 -61.08584  -63.614925 -62.433086
 -62.447025 -63.031693 -64.36797  -64.49087  -63.547573 -62.068287
 -63.845512 -62.49102  -62.76831  -65.71854  -65.46703  -64.87758
 -63.56758  -65.72625  -64.4296   -64.992966 -65.49684  -66.24933
 -66.150955 -65.90099  -66.30487  -66.663376 -67.79899  -68.31762
 -68.723206 -68.865074 -68.79111  -68.84366  -69.281746 -69.93092
 -70.13569  -70.58416  -70.40771  -70.2271   -70.75956  -70.70232
 -70.776924 -70.91454  -71.86746  -71.56246  -71.60932  -71.51489
 -71.31329  -71.877235 -72.06717  -71.870544 -71.639366 -72.2082
 -72.2849   -72.483925 -72.27555  -72.97494  -73.40581  -73.318954
 -73.10785  -72.61666  -73.167465 -73.34953  -74.15441  -74.86329
 -75.45488  -75.63455  -75.559975 -75.98719  -76.2636   -76.22565
 -76.645325 -77.2215   -77.42626  -77.53144  -78.26104  -78.872345
 -78.98141  -79.01644  -79.06976  -79.09849  -79.10428  -79.18131
 -79.475204 -79.694824]",104 - Cow
"[-57.381912 -46.83191  -40.933914 -33.691677 -29.741875 -26.452736
 -23.901468 -28.563992 -31.03227  -31.923021 -34.920277 -36.747097
 -31.147518 -27.44024  -27.272223 -28.181324 -37.012096 -36.631107
 -37.94407  -37.21261  -38.78613  -42.72756  -42.348328 -43.181896
 -38.35428  -37.52387  -36.254227 -38.355606 -42.11154  -41.828976
 -41.32109  -42.137886 -45.52441  -41.75899  -36.87782  -37.186768
 -37.24537  -36.568764 -37.08781  -38.18411  -42.483997 -46.107246
 -42.830025 -43.18439  -45.58543  -43.733635 -43.157566 -44.61253
 -40.916683 -39.705326 -46.59355  -44.421047 -46.113747 -44.433434
 -45.47148  -46.94663  -44.519245 -43.639076 -45.094517 -49.14465
 -50.921585 -49.505592 -50.14381  -52.525875 -51.871464 -48.93996
 -50.613846 -53.00483  -56.682663 -56.13901  -55.504345 -55.410606
 -55.7556   -57.161774 -59.46699  -57.817345 -58.52206  -57.45923
 -58.313457 -59.636497 -58.945026 -58.972237 -59.619335 -60.3877
 -56.05038  -55.497906 -61.914345 -62.407936 -64.01889  -65.06873
 -66.50852  -66.09099  -66.99687  -68.02929  -68.155685 -67.679375
 -69.63969  -70.19243  -67.11048  -68.214615 -73.21749  -74.44267
 -75.07211  -74.99872  -75.7176   -75.85572  -77.68137  -77.78505
 -77.17297  -76.80244  -76.99512  -78.18853  -78.21037  -77.29578
 -78.758736 -78.84967  -79.150375 -79.45669  -79.68268  -79.74773
 -79.42907  -79.77822  -79.7097   -79.97886  -79.972885 -79.97613
 -79.964325 -79.98345 ]",104 - Cow
"[-28.814878 -27.742634 -31.370691 -35.249714 -38.176907 -39.702465
 -40.317085 -42.93569  -42.406395 -43.629917 -44.293354 -45.178417
 -45.902008 -46.95007  -48.241352 -47.173878 -48.471134 -47.011833
 -47.385612 -46.739967 -46.27174  -46.22896  -45.155525 -45.417046
 -44.045437 -44.643646 -44.212032 -46.570797 -48.265045 -47.977085
 -48.83087  -48.351723 -48.939075 -48.523224 -49.21624  -49.82723
 -48.490356 -48.236008 -48.17987  -48.265198 -47.503223 -47.59919
 -47.4991   -47.86637  -48.3091   -48.405815 -49.1894   -49.482708
 -50.5131   -51.751095 -52.94406  -52.925266 -53.0279   -53.633587
 -54.41361  -54.52207  -54.67038  -55.09175  -56.41679  -56.942608
 -57.31756  -57.05343  -57.072453 -57.11682  -58.611706 -59.598927
 -60.933113 -61.813503 -62.379097 -62.68742  -63.21272  -63.955246
 -64.64182  -65.18789  -65.5353   -66.02692  -66.68614  -67.465614
 -68.419075 -68.61733  -68.98947  -69.42436  -70.2571   -70.74538
 -70.94253  -71.2667   -71.67248  -71.7965   -71.90227  -72.583725
 -73.03077  -73.1819   -73.74386  -74.01011  -74.5117   -74.558334
 -74.75109  -75.27525  -75.7407   -76.285446 -76.9485   -77.68472
 -77.67151  -77.25202  -77.142876 -77.231926 -77.49074  -77.54776
 -77.93742  -78.19631  -78.51322  -78.971214 -79.27315  -79.266754
 -79.43515  -79.64974  -79.83811  -79.888176 -79.98963  -80.
 -80.       -80.       -80.       -80.       -80.       -80.
 -80.       -80.      ]",101 - Dog
