filepath,label
C:\Users\Ed\.cache\kagglehub\datasets\ouaraskhelilrafik\tp-02-audio\versions\1\data/data\101 - Dog\1-100032-A.ogg,101 - Dog
C:\Users\Ed\.cache\kagglehub\datasets\ouaraskhelilrafik\tp-02-audio\versions\1\data/data\101 - Dog\1-110389-A.ogg,101 - Dog
C:\Users\Ed\.cache\kagglehub\datasets\ouaraskhelilrafik\tp-02-audio\versions\1\data/data\101 - Dog\1-30226-A.ogg,101 - Dog
C:\Users\Ed\.cache\kagglehub\datasets\ouaraskhelilrafik\tp-02-audio\versions\1\data/data\101 - Dog\1-30344-A.ogg,101 - Dog
C:\Users\Ed\.cache\kagglehub\datasets\ouaraskhelilrafik\tp-02-audio\versions\1\data/data\101 - Dog\1-32318-A.ogg,101 - Dog
C:\Users\Ed\.cache\kagglehub\datasets\ouaraskhelilrafik\tp-02-audio\versions\1\data/data\101 - Dog\1-59513-A.ogg,101 - Dog
C:\Users\Ed\.cache\kagglehub\datasets\ouaraskhelilrafik\tp-02-audio\versions\1\data/data\101 - Dog\1-85362-A.ogg,101 - Dog
C:\Users\Ed\.cache\kagglehub\datasets\ouaraskhelilrafik\tp-02-audio\versions\1\data/data\101 - Dog\1-97392-A.ogg,101 - Dog
C:\Users\Ed\.cache\kagglehub\datasets\ouaraskhelilrafik\tp-02-audio\versions\1\data/data\101 - Dog\2-114280-A.ogg,101 - Dog
C:\Users\Ed\.cache\kagglehub\datasets\ouaraskhelilrafik\tp-02-audio\versions\1\data/data\101 - Dog\2-114587-A.ogg,101 - Dog
C:\Users\Ed\.cache\kagglehub\datasets\ouaraskhelilrafik\tp-02-audio\versions\1\data/data\101 - Dog\2-116400-A.ogg,101 - Dog
C:\Users\Ed\.cache\kagglehub\datasets\ouaraskhelilrafik\tp-02-audio\versions\1\data/data\101 - Dog\2-117271-A.ogg,101 - Dog
C:\Users\Ed\.cache\kagglehub\datasets\ouaraskhelilrafik\tp-02-audio\versions\1\data/data\101 - Dog\2-118072-A.ogg,101 - Dog
C:\Users\Ed\.cache\kagglehub\datasets\ouaraskhelilrafik\tp-02-audio\versions\1\data/data\101 - Dog\2-118964-A.ogg,101 - Dog
C:\Users\Ed\.cache\kagglehub\datasets\ouaraskhelilrafik\tp-02-audio\versions\1\data/data\101 - Dog\2-122104-A.ogg,101 - Dog
C:\Users\Ed\.cache\kagglehub\datasets\ouaraskhelilrafik\tp-02-audio\versions\1\data/data\101 - Dog\2-122104-B.ogg,101 - Dog
C:\Users\Ed\.cache\kagglehub\datasets\ouaraskhelilrafik\tp-02-audio\versions\1\data/data\101 - Dog\3-136288-A.ogg,101 - Dog
C:\Users\Ed\.cache\kagglehub\datasets\ouaraskhelilrafik\tp-02-audio\versions\1\data/data\101 - Dog\3-144028-A.ogg,101 - Dog
C:\Users\Ed\.cache\kagglehub\datasets\ouaraskhelilrafik\tp-02-audio\versions\1\data/data\101 - Dog\3-155312-A.ogg,101 - Dog
C:\Users\Ed\.cache\kagglehub\datasets\ouaraskhelilrafik\tp-02-audio\versions\1\data/data\101 - Dog\3-157695-A.ogg,101 - Dog
C:\Users\Ed\.cache\kagglehub\datasets\ouaraskhelilrafik\tp-02-audio\versions\1\data/data\101 - Dog\3-163459-A.ogg,101 - Dog
C:\Users\Ed\.cache\kagglehub\datasets\ouaraskhelilrafik\tp-02-audio\versions\1\data/data\101 - Dog\3-170015-A.ogg,101 - Dog
C:\Users\Ed\.cache\kagglehub\datasets\ouaraskhelilrafik\tp-02-audio\versions\1\data/data\101 - Dog\3-180256-A.ogg,101 - Dog
C:\Users\Ed\.cache\kagglehub\datasets\ouaraskhelilrafik\tp-02-audio\versions\1\data/data\101 - Dog\3-180977-A.ogg,101 - Dog
C:\Users\Ed\.cache\kagglehub\datasets\ouaraskhelilrafik\tp-02-audio\versions\1\data/data\101 - Dog\4-182395-A.ogg,101 - Dog
C:\Users\Ed\.cache\kagglehub\datasets\ouaraskhelilrafik\tp-02-audio\versions\1\data/data\101 - Dog\4-183992-A.ogg,101 - Dog
C:\Users\Ed\.cache\kagglehub\datasets\ouaraskhelilrafik\tp-02-audio\versions\1\data/data\101 - Dog\4-184575-A.ogg,101 - Dog
C:\Users\Ed\.cache\kagglehub\datasets\ouaraskhelilrafik\tp-02-audio\versions\1\data/data\101 - Dog\4-191687-A.ogg,101 - Dog
C:\Users\Ed\.cache\kagglehub\datasets\ouaraskhelilrafik\tp-02-audio\versions\1\data/data\101 - Dog\4-192236-A.ogg,101 - Dog
C:\Users\Ed\.cache\kagglehub\datasets\ouaraskhelilrafik\tp-02-audio\versions\1\data/data\101 - Dog\4-194754-A.ogg,101 - Dog
C:\Users\Ed\.cache\kagglehub\datasets\ouaraskhelilrafik\tp-02-audio\versions\1\data/data\101 - Dog\4-199261-A.ogg,101 - Dog
C:\Users\Ed\.cache\kagglehub\datasets\ouaraskhelilrafik\tp-02-audio\versions\1\data/data\101 - Dog\4-207124-A.ogg,101 - Dog
C:\Users\Ed\.cache\kagglehub\datasets\ouaraskhelilrafik\tp-02-audio\versions\1\data/data\101 - Dog\5-203128-A.ogg,101 - Dog
C:\Users\Ed\.cache\kagglehub\datasets\ouaraskhelilrafik\tp-02-audio\versions\1\data/data\101 - Dog\5-203128-B.ogg,101 - Dog
C:\Users\Ed\.cache\kagglehub\datasets\ouaraskhelilrafik\tp-02-audio\versions\1\data/data\101 - Dog\5-208030-A.ogg,101 - Dog
C:\Users\Ed\.cache\kagglehub\datasets\ouaraskhelilrafik\tp-02-audio\versions\1\data/data\101 - Dog\5-212454-A.ogg,101 - Dog
C:\Users\Ed\.cache\kagglehub\datasets\ouaraskhelilrafik\tp-02-audio\versions\1\data/data\101 - Dog\5-213855-A.ogg,101 - Dog
C:\Users\Ed\.cache\kagglehub\datasets\ouaraskhelilrafik\tp-02-audio\versions\1\data/data\101 - Dog\5-217158-A.ogg,101 - Dog
C:\Users\Ed\.cache\kagglehub\datasets\ouaraskhelilrafik\tp-02-audio\versions\1\data/data\101 - Dog\5-231762-A.ogg,101 - Dog
